src_onto,tgt_onto,alignment_method,aligner,encoder,entity1,entity1_short,entity2,entity2_short,relation,measure
tp-ont,SOMA,Qwen,Qwen3-8B,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Plan,Plan,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Plan,Plan,=,1.00000023841857
tp-ont,knowrob,kge,ConvEAligner,GraphTripleEncoder,https://w3id.org/tp-ont/ontology#Duration,Duration,http://knowrob.org/kb/knowrob.owl#Duration,Duration,=,1.00000023841857
tp-ont,knowrob,Qwen,Qwen3-8B,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Place,Place,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Place,Place,=,1.00000023841857
tp-ont,knowrob,Qwen,Qwen3-8B,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Duration,Duration,http://knowrob.org/kb/knowrob.owl#Duration,Duration,=,1.00000023841857
plan-ontology-rdf,schemaorg,rag,MistralLLMBERTRetrieverRAG,ConceptParentRAGEncoder,https://purl.org/ai4s/ontology/planning#State,State,https://schema.org/State,https://schema.org/State,=,1.00000023841857
plan-ontology-rdf,schemaorg,rag,MistralLLMBERTRetrieverRAG,ConceptParentRAGEncoder,https://purl.org/ai4s/ontology/planning#State,State,https://schema.org/State,https://schema.org/State,=,1.00000023841857
plan-ontology-rdf,SOMA,rag,MistralLLMBERTRetrieverRAG,ConceptParentRAGEncoder,https://purl.org/ai4s/ontology/planning#State,State,http://www.ease-crc.org/ont/SOMA.owl#State,State,=,1.00000023841857
plan-ontology-rdf,SOMA,rag,MistralLLMBERTRetrieverRAG,ConceptParentRAGEncoder,https://purl.org/ai4s/ontology/planning#State,State,http://www.ease-crc.org/ont/SOMA.owl#State,State,=,1.00000023841857
tp-ont,schemaorg,kge,ConvEAligner,GraphTripleEncoder,https://w3id.org/tp-ont/ontology#Place,Place,https://schema.org/Place,https://schema.org/Place,=,1.000000119209289
tp-ont,schemaorg,kge,ConvEAligner,GraphTripleEncoder,https://w3id.org/tp-ont/ontology#Airport,Airport,https://schema.org/Airport,https://schema.org/Airport,=,1.000000119209289
tp-ont,schemaorg,Qwen,Qwen3-8B,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Store,Store,https://schema.org/Store,https://schema.org/Store,=,1.000000119209289
tp-ont,schemaorg,Qwen,Qwen3-8B,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#City,City,https://schema.org/City,https://schema.org/City,=,1.000000119209289
tp-ont,SOMA,kge,ConvEAligner,GraphTripleEncoder,https://w3id.org/tp-ont/ontology#Parameter,Parameter,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Parameter,Parameter,=,1.000000119209289
tp-ont,SOMA,Qwen,Qwen3-8B,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Location,Location,http://www.ease-crc.org/ont/SOMA.owl#Location,Location,=,1.000000119209289
tp-ont,knowrob,kge,ConvEAligner,GraphTripleEncoder,https://w3id.org/tp-ont/ontology#Object,Object,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Object,Object,=,1.000000119209289
tp-ont,knowrob,kge,ConvEAligner,GraphTripleEncoder,https://w3id.org/tp-ont/ontology#Action,Action,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Action,Action,=,1.000000119209289
tp-ont,knowrob,Qwen,Qwen3-8B,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#TemporalConstraint,TemporalConstraint,http://knowrob.org/kb/knowrob.owl#TemporalConstraint,TemporalConstraint,=,1.000000119209289
plan-ontology-rdf,DOLCEbasic,rag,MistralLLMBERTRetrieverRAG,ConceptParentRAGEncoder,https://purl.org/ai4s/ontology/planning#State,State,https://w3id.org/DOLCE/OWL/DOLCEbasic#State,State,=,1.000000119209289
plan-ontology-rdf,DOLCEbasic,rag,MistralLLMBERTRetrieverRAG,ConceptParentRAGEncoder,https://purl.org/ai4s/ontology/planning#State,State,https://w3id.org/DOLCE/OWL/DOLCEbasic#State,State,=,1.000000119209289
plan-ontology-rdf,knowrob,kge,ConvEAligner,GraphTripleEncoder,https://purl.org/ai4s/ontology/planning#Plan,Plan,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Plan,Plan,=,1.000000119209289
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Instrument,Instrument,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#DirectlyPhysicalCollaboration,DirectlyPhysicalCollaboration,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Airplane,Airplane,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#IndirectlyPhysicalCollaboration,IndirectlyPhysicalCollaboration,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Action,Action,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#DirectlyPhysicalCollaboration,DirectlyPhysicalCollaboration,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Action,Action,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#IndirectlyPhysicalCollaboration,IndirectlyPhysicalCollaboration,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Action,Action,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#Non-physicalCollaboration,Non-physicalCollaboration,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Effect,Effect,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#IndirectlyPhysicalCollaboration,IndirectlyPhysicalCollaboration,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://purl.org/ai4s/ontology/planning#PlanningProblem,PlanningProblem,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#Collaboration,Collaboration,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Location,Location,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#CollaborationPlace,CollaborationPlace,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Location,Location,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#CollaborativePlace,CollaborativePlace,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Location,Location,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#DirectlyPhysicalCollaboration,DirectlyPhysicalCollaboration,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Location,Location,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#Non-physicalCollaboration,Non-physicalCollaboration,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Depot,Depot,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#CollaborationPlace,CollaborationPlace,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Depot,Depot,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#DirectlyPhysicalCollaboration,DirectlyPhysicalCollaboration,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Obj,Obj,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#CollaborationPlace,CollaborationPlace,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Obj,Obj,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#CollaborationRisk,CollaborationRisk,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Obj,Obj,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#CollaborativePlace,CollaborativePlace,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Obj,Obj,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#DirectlyPhysicalCollaboration,DirectlyPhysicalCollaboration,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Obj,Obj,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#IndirectlyPhysicalCollaboration,IndirectlyPhysicalCollaboration,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Obj,Obj,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#Non-physicalCollaboration,Non-physicalCollaboration,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://purl.org/ai4s/ontology/planning#ProblemObject,ProblemObject,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#CollaborationPlace,CollaborationPlace,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://purl.org/ai4s/ontology/planning#ProblemObject,ProblemObject,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#CollaborationRisk,CollaborationRisk,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://purl.org/ai4s/ontology/planning#ProblemObject,ProblemObject,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#CollaborativePlace,CollaborativePlace,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://purl.org/ai4s/ontology/planning#ProblemObject,ProblemObject,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#DirectlyPhysicalCollaboration,DirectlyPhysicalCollaboration,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://purl.org/ai4s/ontology/planning#ProblemObject,ProblemObject,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#Non-physicalCollaboration,Non-physicalCollaboration,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Object,Object,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#CollaborationPlace,CollaborationPlace,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Object,Object,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#CollaborationRisk,CollaborationRisk,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Object,Object,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#CollaborativePlace,CollaborativePlace,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Object,Object,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#DirectlyPhysicalCollaboration,DirectlyPhysicalCollaboration,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Object,Object,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#IndirectlyPhysicalCollaboration,IndirectlyPhysicalCollaboration,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Object,Object,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#Non-physicalCollaboration,Non-physicalCollaboration,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Object,Object,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#PlanAdaptation,PlanAdaptation,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#NegatedFluent,NegatedFluent,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#CollaborationRisk,CollaborationRisk,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Place,Place,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#DirectlyPhysicalCollaboration,DirectlyPhysicalCollaboration,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Plan,Plan,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#CollaborationRisk,CollaborationRisk,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Plan,Plan,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#IndirectlyPhysicalCollaboration,IndirectlyPhysicalCollaboration,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Plan,Plan,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#Non-physicalCollaboration,Non-physicalCollaboration,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Fluent,Fluent,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#CollaborationPlace,CollaborationPlace,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Fluent,Fluent,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#Non-physicalCollaboration,Non-physicalCollaboration,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Satellite,Satellite,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#DirectlyPhysicalCollaboration,DirectlyPhysicalCollaboration,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#VerbalConcept,VerbalConcept,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#Collaboration,Collaboration,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#VerbalConcept,VerbalConcept,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#CollaborationPlace,CollaborationPlace,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#VerbalConcept,VerbalConcept,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#CollaborationRisk,CollaborationRisk,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#VerbalConcept,VerbalConcept,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#CollaborativePlace,CollaborativePlace,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#VerbalConcept,VerbalConcept,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#DirectlyPhysicalCollaboration,DirectlyPhysicalCollaboration,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#VerbalConcept,VerbalConcept,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#IndirectlyPhysicalCollaboration,IndirectlyPhysicalCollaboration,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#VerbalConcept,VerbalConcept,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#Non-physicalCollaboration,Non-physicalCollaboration,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Relation,Relation,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#Collaboration,Collaboration,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Relation,Relation,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#Non-physicalCollaboration,Non-physicalCollaboration,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Lander,Lander,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#CollaborationPlace,CollaborationPlace,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Proposition,Proposition,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#DirectlyPhysicalCollaboration,DirectlyPhysicalCollaboration,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://purl.org/ai4s/ontology/planning#ActionPrecondition,ActionPrecondition,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#Non-physicalCollaboration,Non-physicalCollaboration,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Store,Store,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#CollaborationPlace,CollaborationPlace,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Store,Store,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#CollaborativePlace,CollaborativePlace,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Store,Store,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#IndirectlyPhysicalCollaboration,IndirectlyPhysicalCollaboration,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#NominalConcept,NominalConcept,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#Collaboration,Collaboration,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#NominalConcept,NominalConcept,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#CollaborationPlace,CollaborationPlace,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#NominalConcept,NominalConcept,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#CollaborationRisk,CollaborationRisk,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#NominalConcept,NominalConcept,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#CollaborativePlace,CollaborativePlace,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#NominalConcept,NominalConcept,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#DirectlyPhysicalCollaboration,DirectlyPhysicalCollaboration,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#NominalConcept,NominalConcept,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#IndirectlyPhysicalCollaboration,IndirectlyPhysicalCollaboration,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#NominalConcept,NominalConcept,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#Non-physicalCollaboration,Non-physicalCollaboration,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#NominalConcept,NominalConcept,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#PlanAdaptation,PlanAdaptation,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Mode,Mode,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#DirectlyPhysicalCollaboration,DirectlyPhysicalCollaboration,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Mode,Mode,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#IndirectlyPhysicalCollaboration,IndirectlyPhysicalCollaboration,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Camera,Camera,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#DirectlyPhysicalCollaboration,DirectlyPhysicalCollaboration,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Crate,Crate,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#Collaboration,Collaboration,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Crate,Crate,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#CollaborationPlace,CollaborationPlace,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Crate,Crate,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#CollaborationRisk,CollaborationRisk,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Crate,Crate,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#CollaborativePlace,CollaborativePlace,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Crate,Crate,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#DirectlyPhysicalCollaboration,DirectlyPhysicalCollaboration,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Crate,Crate,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#IndirectlyPhysicalCollaboration,IndirectlyPhysicalCollaboration,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Crate,Crate,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#Non-physicalCollaboration,Non-physicalCollaboration,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Crate,Crate,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#PlanAdaptation,PlanAdaptation,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Pallet,Pallet,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#CollaborationPlace,CollaborationPlace,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://purl.org/ai4s/ontology/planning#ProblemPredicate,ProblemPredicate,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#CollaborationRisk,CollaborationRisk,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://purl.org/ai4s/ontology/planning#ProblemPredicate,ProblemPredicate,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#DirectlyPhysicalCollaboration,DirectlyPhysicalCollaboration,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://purl.org/ai4s/ontology/planning#ProblemPredicate,ProblemPredicate,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#IndirectlyPhysicalCollaboration,IndirectlyPhysicalCollaboration,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Waypoint,Waypoint,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#CollaborationPlace,CollaborationPlace,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Waypoint,Waypoint,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#DirectlyPhysicalCollaboration,DirectlyPhysicalCollaboration,=,1.0
tp-ont,ocra,llm,Mistral-7B-v0.3,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Waypoint,Waypoint,http://www.iri.upc.edu/groups/perception/OCRA/ont/ocra.owl#IndirectlyPhysicalCollaboration,IndirectlyPhysicalCollaboration,=,1.0
